Partner,HS code,Product Name,Year,TariffRate
Djibouti,39,PLASTICS AND ARTICLES THEREOF,2005,29.37
Djibouti,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2005,25.51
"Gambia, The",39,PLASTICS AND ARTICLES THEREOF,2009,20
"Gambia, The",85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2008,18.9
"Gambia, The",94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2007,20
Seychelles,73,ARTICLES OF IRON OR STEEL,2007,0
Seychelles,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2006,0.11
Antigua and Barbuda,39,PLASTICS AND ARTICLES THEREOF,2005,14.17
Antigua and Barbuda,73,ARTICLES OF IRON OR STEEL,2007,11.77
Antigua and Barbuda,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2009,8.66
Antigua and Barbuda,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2005,18.15
Antigua and Barbuda,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2007,9.79
Antigua and Barbuda,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2009,18.78
Armenia,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2005,5.16
Belize,39,PLASTICS AND ARTICLES THEREOF,2005,11.84
Cape Verde,39,PLASTICS AND ARTICLES THEREOF,2006,10.26
Cape Verde,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2006,18.26
Eritrea,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2006,11.58
Georgia,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2005,0.18
Georgia,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2005,2.81
Grenada,73,ARTICLES OF IRON OR STEEL,2008,9.69
Grenada,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2008,10.9
Grenada,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2008,8.27
Haiti,73,ARTICLES OF IRON OR STEEL,2007,4.34
Haiti,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2007,0.84
Liberia,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2010,7.6
Liberia,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2010,24.45
Mauritania,73,ARTICLES OF IRON OR STEEL,2006,15.82
Mauritania,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2008,5.89
Mauritania,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2010,8.29
Mauritania,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2006,10.11
Mauritania,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2008,11.14
St. Kitts and Nevis,73,ARTICLES OF IRON OR STEEL,2006,15.54
St. Kitts and Nevis,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2006,7.48
St. Kitts and Nevis,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2006,6.84
St. Lucia,39,PLASTICS AND ARTICLES THEREOF,2005,10.03
St. Lucia,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2007,3.35
St. Lucia,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2006,8.13
St. Vincent and the Grenadines,73,ARTICLES OF IRON OR STEEL,2007,10.22
St. Vincent and the Grenadines,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2007,7.18
Suriname,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2007,6.24
Ukraine,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2006,9.32
Afghanistan,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2006,2.5
Albania,39,PLASTICS AND ARTICLES THEREOF,2005,7.72
Albania,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2005,0.72
Albania,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2005,9.71
Albania,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2005,3.27
Algeria,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2005,8.08
Algeria,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2005,30
Angola,73,ARTICLES OF IRON OR STEEL,2005,6.63
Angola,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2010,2.09
Angola,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2012,3.05
Angola,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2005,2.06
Angola,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2010,23.76
Antigua and Barbuda,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2010,9.06
Antigua and Barbuda,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2010,19.01
Azerbaijan,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2005,1.05
Azerbaijan,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2008,1.5
Argentina,39,PLASTICS AND ARTICLES THEREOF,2006,11.26
Argentina,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2005,9.61
Argentina,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2007,6.84
Australia,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2005,2.95
Australia,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2005,3.89
Austria,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2005,1.51
"Bahamas, The",39,PLASTICS AND ARTICLES THEREOF,2006,31.88
Bahrain,39,PLASTICS AND ARTICLES THEREOF,2006,5
Bahrain,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2006,5
Bangladesh,73,ARTICLES OF IRON OR STEEL,2005,23.33
Bangladesh,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2007,2.46
Bangladesh,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2006,23.64
Armenia,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2006,0.3
Armenia,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2008,6.99
Barbados,39,PLASTICS AND ARTICLES THEREOF,2006,12.48
