Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.07843138,18.64864867,12.12984055,3.961401724,7.962871732,5.882353953,7.307693245,8.203901293,2.547143687,1.185788511,7.046874992,1.991984449,1.238041842,7.622920649,4.18200163,-0.944953481,1.110504599,7.293728071,-0.383137672,1.127411464,3.089544385,1.835755172,-11.67774137,-2.733456793,3.369237184,-1.040799884,6.431460807,1.426098643,3.611479954,1.234335374,3.493429853,3.212471119,1.225112252,-23.89798984,14.73061592,10.63643096,7.706798397,6.810776693,
Africa Eastern and Southern,AFE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,0.418937461,7.937038151,5.62376363,4.649241001,5.138168035,4.827420955,5.338839478,4.156334288,5.121587175,1.112512817,5.482263976,2.763764043,4.621172092,5.472386144,1.374547467,2.349856034,1.110278521,1.480864682,2.927961873,5.452184801,3.928672412,0.30893801,0.063605979,3.405638871,-0.085865108,2.271251783,3.938554125,4.286398386,2.666045394,0.121363051,-0.10603411,-2.395283525,-0.839117755,1.919654388,4.354617691,5.499111248,3.856738983,1.775172086,2.634184278,3.18137506,3.503533085,3.917113374,3.009372493,5.634698009,6.173659144,6.637497387,6.700033292,4.437529194,0.919472851,5.307904386,4.077476966,1.89717292,4.356682497,3.920389702,2.934029659,2.13011703,2.677523897,2.705194134,2.030076862,-2.817572087,4.578772069,3.722716923,1.931160352,2.763838691,
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.43197407,28.60000117,8.832277803,1.414117993,11.22971483,5.357403247,13.82631955,3.92498382,21.39052839,14.36244147,0.426354777,12.75228709,5.600744659,2.724543362,1.451314661,2.260314203,2.647003203,1.189228129,3.911603416,-2.351100672,-20.73883937,-6.240171992,2.266943736,,
Africa Western and Central,AFW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.86959316,3.726090052,7.038388267,5.364088841,4.105339157,-1.513011026,-8.966703012,1.574303323,15.01702412,17.30933153,10.40737486,3.167369063,3.922108435,9.915904968,-2.01383192,8.422122057,4.561266302,-1.915305955,5.030839227,1.868505744,-6.64079305,-3.270636659,-6.289589944,0.483812646,5.319963135,1.266241853,1.410611054,4.761381009,1.723425322,5.600850214,1.118118959,2.289168864,-1.325554373,-0.228792691,1.851636892,4.621822052,4.387820997,3.615597631,1.517994643,3.81216115,5.248683241,9.943307123,5.626360648,8.071473451,5.797433719,5.287171042,5.447530436,6.210811884,6.14119136,7.000739603,4.922047024,5.129702994,6.046692131,5.691551207,2.932863672,0.194316483,2.296348866,2.904664308,3.281682769,-3.730629842,2.549690832,4.472794685,3.662427529,4.585673621,
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-4.400001219,0,4.200001429,6.000002165,3.49999949,2.900001742,4.082748635,6.128890478,0.041621462,-3.450098685,0.991359302,-5.838280733,-23.98341744,1.339363436,15.00000003,13.54436976,7.274277355,4.691146451,2.181489718,3.054624234,4.205998556,13.66568876,3.487312401,11.41986339,14.15477753,11.84181788,13.00268895,10.78663605,1.995589098,5.293665728,3.593869602,8.503122839,4.883061297,4.655723563,0.763177711,-1.700530363,-0.149396226,-0.594411227,-0.204680246,-4.042447246,2.102752519,4.216002585,1.26330814,4.423906644,
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,5.745635292,2.948596801,1.104938262,-1.251596644,1.780643959,5.637243179,-0.787842655,-1.420039656,9.836548972,-9.57564017,-28.00214165,-7.18711091,9.559411671,8.302866597,13.32233333,7.336328948,-11.71157328,8.310025204,12.2507282,7.462858718,8.86373066,4.628395874,5.33326426,5.266261739,5.130821931,6.01898124,6.500092612,6.907062307,2.690751524,2.973154427,2.463516839,0.98412988,1.707228318,2.240226954,2.227704075,3.908935514,3.283175933,3.671419281,2.062577902,-3.313756369,8.969576191,4.826800623,4.015417169,4.045928451,
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,4.649465356,8.149743527,7.788467245,5.618789627,0.54220567,3.303787053,2.838575569,1.46300017,0.041557223,2.208727611,-0.132474493,1.246461138,1.770118271,1.784686672,2.321433034,3.253321828,5.547122161,5.094326194,4.827034272,3.781387549,2.546003531,0.92921404,-1.03148439,2.383182248,2.757501613,4.649738668,9.067672051,3.194793393,4.099078922,3.528362361,8.119357722,4.546362214,8.694203716,8.135676338,5.397795985,4.808688699,1.553188141,-5.559186369,-5.302846543,-1.974958,-0.008069753,-4.974443719,-3.547596515,2.504465521,1.434140395,3.70967807,0.34607189,1.58876549,2.015547638,-11.18393994,8.28677879,9.564612256,2.58355481,3.371820326,
Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,6.786398157,10.78065352,7.454780535,22.94141124,7.481602875,13.94290693,13.29471465,10.51877009,-0.045614445,14.31790191,6.603466686,2.939184489,10.64437223,6.28157921,0.849205172,-5.988181625,-3.764014284,1.238052558,-0.842753181,-0.785453375,0.251323209,3.279320303,3.811746469,7.846883131,-0.695508854,6.562855737,3.258722706,3.355358462,2.797174175,4.818914706,5.446476426,4.7652949,2.775918691,6.336729224,2.097407453,1.220748451,4.295531684,9.074591887,5.572955298,6.276297341,4.601164703,5.571160087,0.648247153,4.840642438,3.853203588,5.493754229,2.647320609,2.659752314,3.350803667,3.57286828,1.329010002,2.672553245,1.747781122,-5.301027869,4.431608835,7.007759343,1.634950223,1.703531028,
United Arab Emirates,ARE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,36.61237785,39.07963759,76.62015504,14.49804127,6.227401389,16.52685651,21.43933017,-1.58960332,20.92357308,23.87477491,4.659176674,-6.719316186,-4.7458207,4.01695128,-3.594476517,-14.95813656,3.381981709,-2.618907704,12.33789128,18.32798553,0.860081948,3.344944858,1.261190946,6.896148553,6.68788646,5.798404069,8.190398649,0.291994342,2.90221364,10.85270422,1.399085037,2.433456811,8.800540814,9.566436638,4.855141196,9.837319769,3.184390173,3.191836273,-5.242921904,1.602850047,6.736467869,4.683265702,4.918478067,4.63288145,7.087673486,5.657933292,-1.061376615,1.537166832,1.271342408,-8.693426179,4.552785712,7.514484258,4.30118228,3.991807055,
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.427842876,-0.852021522,-5.308196825,10.13029766,10.56943334,-0.659726171,3.191996623,4.822500779,9.679526011,3.045643319,5.658131082,1.628416518,2.811754038,5.533804396,-0.028412104,-2.018251517,6.934147757,-4.506124802,10.22276346,1.51878395,-5.189789141,-0.735659159,4.349093279,1.570738702,-5.189024353,6.153377063,2.704868828,-1.089933341,-7.156949656,-2.467213778,9.133110567,7.937291556,8.206979072,5.836200704,-2.845209611,5.526689827,8.111046771,3.850178852,-3.385457041,-0.788998939,-4.408839683,-10.89448483,8.837040796,9.029573301,8.85165992,8.0471515,9.007650875,4.057233103,-5.918525076,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.818502978,-2.617396463,-2.000861003,-9.900484814,10.44181199,6.020745375,-1.85578803,-1.342930722,
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.69999848,-41.80000275,-8.799998793,5.400002779,6.89999842,5.865400749,3.3210797,7.299999988,3.300000001,5.900000003,9.599999999,13.2,14,10.5,13.9,13.2,13.7,6.9,-14.1,2.2,4.699999999,7.200000001,3.3,3.600000001,3.199999999,0.2,7.500000002,5.2,7.599999999,-7.199999999,5.800000001,12.6,8.3,5.9,
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.965517241,0.409836066,-0.408163265,-4.098360656,1.851851852,-2.657342657,-4.166666667,0.299850075,0,-4.334828102,-2.5,1.762820513,3.149606299,-1.679389313,-6.98757764,2.671118531,-0.487804878,4.411764706,-0.782472613,1.735015773,,,
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,4.383512477,8.079446229,8.161983859,3.814448151,-0.083506684,5.363818848,10.16523014,7.643844423,11.49366937,6.626134933,5.213132049,5.252301463,3.011813167,2.176852174,1.158550777,5.279886835,6.67640655,-4.359784666,6.604944883,5.471255814,4.731279149,3.707745945,6.203552126,-4.548109771,1.027234861,6.076636664,5.767103383,6.473689418,12.70814749,9.315182723,-0.014006598,-11.96287947,-7.840506837,-1.958742622,3.373142739,-0.60098233,2.198291887,1.421619976,4.120367544,2.71272658,6.712004872,3.172221937,-18.86877652,8.172863112,9.107806234,2.427363001,3.65638766,
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,2.480857394,1.296931772,6.21437635,6.977571893,5.977505371,2.381033501,6.306899486,5.09512981,7.047602432,7.174699837,4.00098657,3.906978569,2.618545874,4.106611013,1.338700558,2.587822051,3.59237582,0.89536344,4.051550949,3.034535081,3.342420194,3.32864998,-2.22582353,4.564478659,5.281698146,3.969763098,2.556768027,5.761370119,3.879017794,3.572975691,-0.384631357,0.433065864,4.045833741,3.978844342,3.89017189,3.865674792,3.917958148,4.676813735,5.028220359,3.916057488,2.031458802,3.949805358,3.0912801,4.218941475,3.155481213,2.770926174,3.789471199,3.623985036,1.954848263,2.210047953,2.394734943,3.952471381,2.654453026,2.601189782,2.164347806,2.755640655,2.293310302,2.874170395,2.194017036,-0.133531904,2.006948443,4.253045592,3.583821008,1.373407734,
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.537979317,2.648675113,4.138267582,6.124353738,3.480174918,5.642861411,3.008047798,4.472312782,6.275867166,7.122875502,5.11496844,6.207860573,4.890435984,3.942138196,-0.363735782,4.578444915,5.079981207,-0.210653652,5.356699939,1.731485496,-0.144294731,2.011254555,2.973087838,0.051275157,2.49867885,2.301392795,1.357167995,3.295879816,3.887074787,4.345641838,3.441627488,2.093524426,0.526809769,2.402118433,2.667983889,2.215767131,2.145835055,3.49288003,3.761924352,3.18952293,1.316987496,1.484368776,1.141565045,2.565255341,2.320365143,3.269336015,3.775224687,1.453305621,-3.586264726,1.80898243,2.927468002,0.628246239,-0.250726423,0.75579885,1.303523318,2.117219645,2.27224992,2.484221141,1.754976196,-6.318255092,4.923091717,5.330963794,-0.786244289,-0.659089573,
