Partner,Year,Actual,Predicted,Model
CHN,2006,6.42,6.8296607587842795,Stacking
CHN,2006,7.21,6.630308047927358,Stacking
CHN,2006,1.39,1.1535221513450624,Stacking
CHN,2006,3.87,3.5842156744199567,Stacking
CHN,2006,3.22,3.1934917550154642,Stacking
CHN,2006,5.85,4.902884853005142,Stacking
CHN,2006,20.83,19.899387427846193,Stacking
CHN,2007,4.03,3.6862966766134946,Stacking
CHN,2007,4.34,3.4063977534700145,Stacking
CHN,2007,1.74,1.328153370249666,Stacking
CHN,2007,17.37,19.15405072702724,Stacking
CHN,2007,5.41,5.290643216376481,Stacking
CHN,2007,6.92,6.717863192545637,Stacking
CHN,2007,7.29,6.6351779347272375,Stacking
CHN,2008,6.81,7.097761190888524,Stacking
CHN,2008,6.44,6.75731294687368,Stacking
CHN,2008,4.18,4.203885751864985,Stacking
CHN,2008,20.65,19.27973719760962,Stacking
CHN,2008,1.8,1.67355858489399,Stacking
CHN,2008,4.09,3.956742617193788,Stacking
CHN,2008,5.16,5.249210769646111,Stacking
CHN,2009,21.38,20.71875352896838,Stacking
CHN,2009,5.7,5.259858023056339,Stacking
CHN,2009,4.24,4.180271738275663,Stacking
CHN,2009,4.3,3.9922093331634843,Stacking
CHN,2009,1.76,1.5795038421325538,Stacking
CHN,2009,6.78,6.570796748134035,Stacking
CHN,2009,6.75,6.767663677121839,Stacking
CHN,2010,6.54,6.819876953057759,Stacking
CHN,2010,7.32,7.169816362582687,Stacking
CHN,2010,1.5,1.9634473974830424,Stacking
CHN,2010,3.99,4.519766888561199,Stacking
CHN,2010,4.09,4.26887223480913,Stacking
CHN,2010,5.26,5.641567944199147,Stacking
CHN,2010,21.47,21.337511277018535,Stacking
CHN,2011,4.09,4.212819257879556,Stacking
CHN,2011,4.2,4.234527035326937,Stacking
CHN,2011,1.86,1.7459931471376215,Stacking
CHN,2011,7.62,7.634620272803525,Stacking
CHN,2011,6.55,6.769971189896554,Stacking
CHN,2011,22.62,22.151126861170845,Stacking
CHN,2011,4.58,5.201505491665537,Stacking
CHN,2012,6.9,6.787924664980417,Stacking
CHN,2012,8.02,7.968784868656086,Stacking
CHN,2012,3.89,4.204423307896575,Stacking
CHN,2012,4.5,4.767742282429856,Stacking
CHN,2012,1.99,1.9816439435831361,Stacking
CHN,2012,23.31,22.974553640788855,Stacking
CHN,2012,4.83,4.317426075735331,Stacking
CHN,2013,5.57,4.897083036776782,Stacking
CHN,2013,23.2,23.210637924330197,Stacking
CHN,2013,3.71,3.9333869131562453,Stacking
CHN,2013,4.81,4.73535852109198,Stacking
CHN,2013,1.63,1.8615145275592555,Stacking
CHN,2013,8.06,8.11318003254869,Stacking
CHN,2013,6.94,6.888417041370675,Stacking
CHN,2014,1.49,1.6544310142910525,Stacking
CHN,2014,4.34,4.702995335476842,Stacking
CHN,2014,6.36,6.862164164398259,Stacking
CHN,2014,8.11,8.152016478792081,Stacking
CHN,2014,3.18,3.740822431419395,Stacking
CHN,2014,23.15,23.14882978880112,Stacking
CHN,2014,5.2,5.441524170226598,Stacking
CHN,2015,8.06,8.168662170128187,Stacking
